direction,entry_time,exit_time,entry_price,exit_price,size,net_pnl,profit_pct
short,2025-06-15T00:00:00+00:00,2025-06-15T05:45:00+00:00,13.188,13.307261725884391,16.76,-2.2208568190852986,-1.004772192503282
long,2025-06-16T00:00:00+00:00,2025-06-16T22:45:00+00:00,13.273,13.665235580867662,15.41,5.836791196020098,2.8536612904183603
short,2025-06-17T10:30:00+00:00,2025-06-19T09:45:00+00:00,13.238,13.348175784007074,8.46,-1.0445466562661985,-0.9326852386997871
long,2025-06-20T09:15:00+00:00,2025-06-20T14:15:00+00:00,13.121,12.982133643418662,14.77,-2.243827728663021,-1.1578227528621916
short,2025-06-20T15:15:00+00:00,2025-06-22T15:15:00+00:00,12.894,11.53,11.23,15.180579240000009,10.483852954862732
long,2025-06-23T21:45:00+00:00,2025-06-25T11:15:00+00:00,12.366,13.20537339304305,10.07,8.32373820290955,6.684357968191244
short,2025-06-26T17:00:00+00:00,2025-06-28T16:00:00+00:00,13.017,13.293251469910453,8.96,-2.5930830969828658,-2.223297193250435
long,2025-06-28T16:15:00+00:00,2025-06-29T15:15:00+00:00,13.297,13.265457503984832,19.22,-0.8615119900248318,-0.33709652378100974
short,2025-06-30T10:30:00+00:00,2025-06-30T14:00:00+00:00,13.201,13.313509004215199,21.39,-2.690140273963171,-0.9527025128195272
long,2025-06-30T17:15:00+00:00,2025-07-01T00:15:00+00:00,13.407,13.31727023888091,10.36,-1.0680320450311722,-0.7689408237378247
short,2025-07-01T02:45:00+00:00,2025-07-02T15:30:00+00:00,13.238,13.351472201056147,11.93,-1.51232956027914,-0.9575988605278412
long,2025-07-02T17:00:00+00:00,2025-07-03T02:30:00+00:00,13.676,13.446243939641151,10.01,-2.435604995109979,-1.7791545943892164
short,2025-07-04T11:00:00+00:00,2025-07-06T11:00:00+00:00,13.36,13.147,14.67,2.930281154999988,1.4951085329341256
long,2025-07-06T15:30:00+00:00,2025-07-07T16:15:00+00:00,13.382,13.438176295873472,18.69,0.7993004223902573,0.3195800906107864
short,2025-07-08T02:00:00+00:00,2025-07-08T10:30:00+00:00,13.226,13.373248346995352,15.81,-2.538263424179497,-1.213881530083537
