trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-02-01T16:00:00Z,2025-02-02T06:30:00Z,3.8918,3.7575,25.69,99.980342,3.35,3.35,5.9,5.90,-1.89,-1.89,3.35,3.35,29,Short,Regime Flat
2,short,2025-02-02T17:30:00Z,2025-02-03T07:30:00Z,3.3675,3.0972,30.69,103.348575,8.2,7.93,30.16,29.17,-2.17,-2.10,11.55,11.55,28,Short,Regime Flat
3,long,2025-02-03T18:30:00Z,2025-02-04T06:00:00Z,3.5323,3.3978,31.58,111.550034,-4.36,-3.90,9.45,8.47,-5.9,-5.28,7.19,7.19,23,Long,Regime Flat
4,short,2025-02-05T18:30:00Z,2025-02-06T06:30:00Z,3.3511,3.449,31.98,107.168178,-3.24,-3.02,2.09,1.95,-3.77,-3.52,3.95,3.95,24,Short,Regime Flat
5,short,2025-02-08T05:00:00Z,2025-02-08T11:00:00Z,2.9364,2.975,35.4,103.94856,-1.47,-1.41,1.91,1.84,-2.55,-2.45,2.48,2.48,12,Short,Regime Flat
6,long,2025-02-10T17:30:00Z,2025-02-10T21:00:00Z,3.2621,3.2502,31.41,102.462561,-0.48,-0.46,0.76,0.74,-1.11,-1.08,2,2.00,7,Long,Regime Flat
7,long,2025-02-11T07:00:00Z,2025-02-11T16:00:00Z,3.5374,3.4683,28.84,102.018616,-2.09,-2.05,1.5,1.47,-4.88,-4.78,-0.09,-0.09,18,Long,Regime Flat
8,long,2025-02-13T05:30:00Z,2025-02-13T08:30:00Z,3.5696,3.5244,27.99,99.913104,-1.36,-1.36,0.71,0.71,-2.05,-2.05,-1.45,-1.45,6,Long,Regime Flat
9,short,2025-02-15T17:00:00Z,2025-02-15T22:00:00Z,3.4114,3.4129,28.88,98.521232,-0.14,-0.14,1.11,1.12,-0.64,-0.64,-1.6,-1.60,10,Short,Regime Flat
10,short,2025-02-18T17:00:00Z,2025-02-18T20:30:00Z,2.9533,2.9957,33.32,98.403956,-1.51,-1.54,1.05,1.06,-2.93,-2.98,-3.11,-3.11,7,Short,Regime Flat
11,short,2025-02-21T20:00:00Z,2025-02-22T05:30:00Z,3.2548,3.3822,29.76,96.862848,-3.89,-4.01,0.74,0.76,-4.04,-4.16,-7,-7.00,19,Short,Regime Flat
12,short,2025-02-23T16:00:00Z,2025-02-23T18:30:00Z,3.2895,3.3319,28.27,92.994165,-1.29,-1.39,0,0.00,-1.45,-1.56,-8.29,-8.29,5,Short,Regime Flat
13,short,2025-02-24T15:30:00Z,2025-02-25T13:00:00Z,3.0026,2.8402,30.54,91.699404,4.87,5.31,11.2,12.21,-2.24,-2.45,-3.42,-3.42,43,Short,Regime Flat
14,short,2025-02-28T01:30:00Z,2025-02-28T14:00:00Z,2.7093,2.7129,35.64,96.559452,-0.22,-0.23,6.76,7.00,-1.19,-1.23,-3.64,-3.64,25,Short,Regime Flat
15,long,2025-02-28T19:00:00Z,2025-03-01T06:30:00Z,2.8194,2.8468,34.17,96.338898,0.84,0.87,3.59,3.72,-1.15,-1.19,-2.8,-2.80,23,Long,Regime Flat
16,long,2025-03-02T18:30:00Z,2025-03-03T06:30:00Z,3.1707,3.0522,30.65,97.181955,-3.73,-3.83,2.46,2.53,-3.71,-3.81,-6.53,-6.53,24,Long,Regime Flat
