Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-02-02 14:30,Regime Flat,3.7575,25.69,99.980342,3.35,3.35,5.9,5.90,-1.89,-1.89,3.35,3.35,29
1,Entry short,2025-02-02 00:00,Short,3.8918,25.69,99.980342,3.35,3.35,5.9,5.90,-1.89,-1.89,3.35,3.35,29
2,Exit short,2025-02-03 15:30,Regime Flat,3.0972,30.69,103.348575,8.2,7.93,30.16,29.17,-2.17,-2.10,11.55,11.55,28
2,Entry short,2025-02-03 01:30,Short,3.3675,30.69,103.348575,8.2,7.93,30.16,29.17,-2.17,-2.10,11.55,11.55,28
3,Exit long,2025-02-04 14:00,Regime Flat,3.3978,31.58,111.550034,-4.36,-3.90,9.45,8.47,-5.9,-5.28,7.19,7.19,23
3,Entry long,2025-02-04 02:30,Long,3.5323,31.58,111.550034,-4.36,-3.90,9.45,8.47,-5.9,-5.28,7.19,7.19,23
4,Exit short,2025-02-06 14:30,Regime Flat,3.449,31.98,107.168178,-3.24,-3.02,2.09,1.95,-3.77,-3.52,3.95,3.95,24
4,Entry short,2025-02-06 02:30,Short,3.3511,31.98,107.168178,-3.24,-3.02,2.09,1.95,-3.77,-3.52,3.95,3.95,24
5,Exit short,2025-02-08 19:00,Regime Flat,2.975,35.4,103.94856,-1.47,-1.41,1.91,1.84,-2.55,-2.45,2.48,2.48,12
5,Entry short,2025-02-08 13:00,Short,2.9364,35.4,103.94856,-1.47,-1.41,1.91,1.84,-2.55,-2.45,2.48,2.48,12
6,Exit long,2025-02-11 05:00,Regime Flat,3.2502,31.41,102.462561,-0.48,-0.46,0.76,0.74,-1.11,-1.08,2,2.00,7
6,Entry long,2025-02-11 01:30,Long,3.2621,31.41,102.462561,-0.48,-0.46,0.76,0.74,-1.11,-1.08,2,2.00,7
