trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-02-01T16:00:00Z,2025-02-02T06:30:00Z,3.8918,3.7575,25.69,99.980342,3.35,3.35,5.9,5.90,-1.89,-1.89,3.35,3.35,29,Short,Regime Flat
2,short,2025-02-02T17:30:00Z,2025-02-03T05:30:00Z,3.3675,3.0036,30.69,103.348575,11.07,10.71,30.16,29.17,-2.17,-2.10,14.42,14.42,24,Short,Emergency SL
3,short,2025-02-03T06:00:00Z,2025-02-03T07:30:00Z,3.0606,3.0972,37.37,114.374622,-1.48,-1.30,2.37,2.07,-2.16,-1.89,12.94,12.94,3,Short,Regime Flat
4,long,2025-02-03T18:30:00Z,2025-02-04T06:00:00Z,3.5323,3.3978,31.97,112.927631,-4.41,-3.90,9.57,8.47,-5.97,-5.28,8.53,8.53,23,Long,Regime Flat
5,short,2025-02-05T18:30:00Z,2025-02-06T06:30:00Z,3.3511,3.449,32.38,108.508618,-3.28,-3.02,2.12,1.95,-3.82,-3.52,5.25,5.25,24,Short,Regime Flat
6,short,2025-02-08T05:00:00Z,2025-02-08T11:00:00Z,2.9364,2.975,35.84,105.240576,-1.49,-1.41,1.93,1.84,-2.58,-2.45,3.76,3.76,12,Short,Regime Flat
7,long,2025-02-10T17:30:00Z,2025-02-10T21:00:00Z,3.2621,3.2502,31.8,103.73478,-0.48,-0.46,0.77,0.74,-1.12,-1.08,3.28,3.28,7,Long,Regime Flat
8,long,2025-02-11T07:00:00Z,2025-02-11T16:00:00Z,3.5374,3.4683,29.2,103.29208,-2.12,-2.05,1.52,1.47,-4.94,-4.78,1.16,1.16,18,Long,Regime Flat
9,long,2025-02-13T05:30:00Z,2025-02-13T08:30:00Z,3.5696,3.5244,28.33,101.126768,-1.38,-1.36,0.72,0.71,-2.08,-2.05,-0.22,-0.22,6,Long,Regime Flat
10,short,2025-02-15T17:00:00Z,2025-02-15T22:00:00Z,3.4114,3.4129,29.24,99.749336,-0.14,-0.14,1.12,1.12,-0.64,-0.64,-0.37,-0.37,10,Short,Regime Flat
11,short,2025-02-18T17:00:00Z,2025-02-18T20:30:00Z,2.9533,2.9957,33.74,99.644342,-1.53,-1.54,1.06,1.06,-2.97,-2.98,-1.9,-1.90,7,Short,Regime Flat
12,short,2025-02-21T20:00:00Z,2025-02-22T05:30:00Z,3.2548,3.3822,30.14,98.099672,-3.94,-4.01,0.75,0.76,-4.09,-4.16,-5.84,-5.84,19,Short,Regime Flat
13,short,2025-02-23T16:00:00Z,2025-02-23T18:30:00Z,3.2895,3.3319,28.62,94.14549,-1.31,-1.39,0,0.00,-1.47,-1.56,-7.15,-7.15,5,Short,Regime Flat
14,short,2025-02-24T15:30:00Z,2025-02-25T13:00:00Z,3.0026,2.8402,30.92,92.840392,4.93,5.31,11.34,12.21,-2.27,-2.45,-2.22,-2.22,43,Short,Regime Flat
15,short,2025-02-28T01:30:00Z,2025-02-28T14:00:00Z,2.7093,2.7129,36.09,97.778637,-0.23,-0.23,6.85,7.00,-1.2,-1.23,-2.44,-2.44,25,Short,Regime Flat
16,long,2025-02-28T19:00:00Z,2025-03-01T06:30:00Z,2.8194,2.8468,34.6,97.55124,0.85,0.87,3.63,3.72,-1.16,-1.19,-1.59,-1.59,23,Long,Regime Flat
17,long,2025-03-02T18:30:00Z,2025-03-03T06:30:00Z,3.1707,3.0522,31.04,98.418528,-3.77,-3.83,2.49,2.53,-3.76,-3.81,-5.37,-5.37,24,Long,Regime Flat
