Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-02-02 14:30,Regime Flat,3.7575,25.69,99.980342,3.35,3.35,5.9,5.90,-1.89,-1.89,3.35,3.35,29
1,Entry short,2025-02-02 00:00,Short,3.8918,25.69,99.980342,3.35,3.35,5.9,5.90,-1.89,-1.89,3.35,3.35,29
2,Exit short,2025-02-03 13:30,Emergency SL,3.0036,30.69,103.348575,11.07,10.71,30.16,29.17,-2.17,-2.10,14.42,14.42,24
2,Entry short,2025-02-03 01:30,Short,3.3675,30.69,103.348575,11.07,10.71,30.16,29.17,-2.17,-2.10,14.42,14.42,24
3,Exit short,2025-02-03 15:30,Regime Flat,3.0972,37.37,114.374622,-1.48,-1.30,2.37,2.07,-2.16,-1.89,12.94,12.94,3
3,Entry short,2025-02-03 14:00,Short,3.0606,37.37,114.374622,-1.48,-1.30,2.37,2.07,-2.16,-1.89,12.94,12.94,3
4,Exit long,2025-02-04 14:00,Regime Flat,3.3978,31.97,112.927631,-4.41,-3.90,9.57,8.47,-5.97,-5.28,8.53,8.53,23
4,Entry long,2025-02-04 02:30,Long,3.5323,31.97,112.927631,-4.41,-3.90,9.57,8.47,-5.97,-5.28,8.53,8.53,23
5,Exit short,2025-02-06 14:30,Regime Flat,3.449,32.38,108.508618,-3.28,-3.02,2.12,1.95,-3.82,-3.52,5.25,5.25,24
5,Entry short,2025-02-06 02:30,Short,3.3511,32.38,108.508618,-3.28,-3.02,2.12,1.95,-3.82,-3.52,5.25,5.25,24
6,Exit short,2025-02-08 19:00,Regime Flat,2.975,35.84,105.240576,-1.49,-1.41,1.93,1.84,-2.58,-2.45,3.76,3.76,12
6,Entry short,2025-02-08 13:00,Short,2.9364,35.84,105.240576,-1.49,-1.41,1.93,1.84,-2.58,-2.45,3.76,3.76,12
