trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,long,2025-08-01T03:00:00Z,2025-08-01T08:00:00Z,3.6138,3.4559,12.64,45.678432,-2.04,-4.46,0.23,0.51,-2.02,-4.42,-2.04,-2.04,10,Long,Long Exit
2,long,2025-08-01T09:30:00Z,2025-08-02T16:00:00Z,3.516,3.3375,10.98,38.60568,-2,-5.17,0.84,2.18,-1.98,-5.12,-4.04,-4.04,61,Long,Long Exit
3,long,2025-08-02T17:30:00Z,2025-08-05T14:00:00Z,3.3814,3.4185,13.06,44.161084,0.44,1.00,3.27,7.41,-1.55,-3.51,-3.6,-3.60,137,Long,Long Exit
4,long,2025-08-05T23:30:00Z,2025-08-10T08:00:00Z,3.4127,3.7804,19.36,66.069872,7.05,10.66,11.45,17.33,-1.74,-2.63,3.45,3.45,209,Long,Long Exit
5,long,2025-08-12T00:30:00Z,2025-08-12T13:30:00Z,3.6779,3.7751,21.22,78.045038,1.98,2.54,2.21,2.83,-1.75,-2.24,5.43,5.43,26,Long,Long Exit
6,short,2025-08-12T22:00:00Z,2025-08-13T09:30:00Z,3.8876,3.9941,19.79,76.935604,-2.19,-2.84,1.38,1.80,-2.15,-2.79,3.25,3.25,23,Short,Short Exit
7,short,2025-08-13T14:30:00Z,2025-08-14T03:30:00Z,3.9717,4.1689,10.47,41.583699,-2.11,-5.07,0.66,1.59,-2.09,-5.01,1.14,1.14,26,Short,Short Exit
8,short,2025-08-14T05:30:00Z,2025-08-14T11:00:00Z,4.0834,3.9344,12.14,49.572476,1.76,3.55,2.09,4.21,-0.02,-0.05,2.9,2.90,11,Short,Short Exit
9,long,2025-08-14T23:30:00Z,2025-08-18T01:00:00Z,3.7526,3.7302,14.68,55.088168,-0.38,-0.70,2.03,3.69,-2.03,-3.69,2.52,2.52,147,Long,Long Exit
10,long,2025-08-18T13:30:00Z,2025-08-19T16:30:00Z,3.5889,3.4794,18.73,67.220097,-2.12,-3.15,1.57,2.33,-2.08,-3.10,0.4,0.40,54,Long,Long Exit
11,long,2025-08-20T01:30:00Z,2025-08-20T15:30:00Z,3.4489,3.5359,24.36,84.015204,2.03,2.42,2.09,2.49,-1.79,-2.13,2.44,2.44,28,Long,Long Exit
12,long,2025-08-21T13:30:00Z,2025-08-22T12:00:00Z,3.4448,3.3415,19.78,68.138144,-2.11,-3.10,0.62,0.92,-2.08,-3.05,0.32,0.32,45,Long,Long Exit
13,long,2025-08-22T14:00:00Z,2025-08-22T14:00:00Z,3.3625,3.3625,18.68,62.8115,-0.06,-0.10,0,0.00,-0.03,-0.05,0.26,0.26,0,Long,Long Exit
14,short,2025-08-23T02:00:00Z,2025-08-24T19:00:00Z,3.6967,3.8086,17.95,66.355765,-2.08,-3.13,1.67,2.52,-2.04,-3.08,-1.81,-1.81,82,Short,Short Exit
15,long,2025-08-26T01:30:00Z,2025-08-26T20:00:00Z,3.3653,3.4814,17.22,57.950466,1.94,3.35,2.11,3.65,-0.4,-0.68,0.13,0.13,37,Long,Long Exit
