Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2025-08-01 16:00,Long Exit,3.4559,12.64,45.678432,-2.04,-4.46,0.23,0.51,-2.02,-4.42,-2.04,-2.04,10
1,Entry long,2025-08-01 11:00,Long,3.6138,12.64,45.678432,-2.04,-4.46,0.23,0.51,-2.02,-4.42,-2.04,-2.04,10
2,Exit long,2025-08-03 00:00,Long Exit,3.3375,10.98,38.60568,-2,-5.17,0.84,2.18,-1.98,-5.12,-4.04,-4.04,61
2,Entry long,2025-08-01 17:30,Long,3.516,10.98,38.60568,-2,-5.17,0.84,2.18,-1.98,-5.12,-4.04,-4.04,61
3,Exit long,2025-08-05 22:00,Long Exit,3.4185,13.06,44.161084,0.44,1.00,3.27,7.41,-1.55,-3.51,-3.6,-3.60,137
3,Entry long,2025-08-03 01:30,Long,3.3814,13.06,44.161084,0.44,1.00,3.27,7.41,-1.55,-3.51,-3.6,-3.60,137
4,Exit long,2025-08-10 16:00,Long Exit,3.7804,19.36,66.069872,7.05,10.66,11.45,17.33,-1.74,-2.63,3.45,3.45,209
4,Entry long,2025-08-06 07:30,Long,3.4127,19.36,66.069872,7.05,10.66,11.45,17.33,-1.74,-2.63,3.45,3.45,209
5,Exit long,2025-08-12 21:30,Long Exit,3.7751,21.22,78.045038,1.98,2.54,2.21,2.83,-1.75,-2.24,5.43,5.43,26
5,Entry long,2025-08-12 08:30,Long,3.6779,21.22,78.045038,1.98,2.54,2.21,2.83,-1.75,-2.24,5.43,5.43,26
6,Exit short,2025-08-13 17:30,Short Exit,3.9941,19.79,76.935604,-2.19,-2.84,1.38,1.80,-2.15,-2.79,3.25,3.25,23
6,Entry short,2025-08-13 06:00,Short,3.8876,19.79,76.935604,-2.19,-2.84,1.38,1.80,-2.15,-2.79,3.25,3.25,23
7,Exit short,2025-08-14 11:30,Short Exit,4.1689,10.47,41.583699,-2.11,-5.07,0.66,1.59,-2.09,-5.01,1.14,1.14,26
7,Entry short,2025-08-13 22:30,Short,3.9717,10.47,41.583699,-2.11,-5.07,0.66,1.59,-2.09,-5.01,1.14,1.14,26
8,Exit short,2025-08-14 19:00,Short Exit,3.9344,12.14,49.572476,1.76,3.55,2.09,4.21,-0.02,-0.05,2.9,2.90,11
8,Entry short,2025-08-14 13:30,Short,4.0834,12.14,49.572476,1.76,3.55,2.09,4.21,-0.02,-0.05,2.9,2.90,11
9,Exit long,2025-08-18 09:00,Long Exit,3.7302,14.68,55.088168,-0.38,-0.70,2.03,3.69,-2.03,-3.69,2.52,2.52,147
9,Entry long,2025-08-15 07:30,Long,3.7526,14.68,55.088168,-0.38,-0.70,2.03,3.69,-2.03,-3.69,2.52,2.52,147
10,Exit long,2025-08-20 00:30,Long Exit,3.4794,18.73,67.220097,-2.12,-3.15,1.57,2.33,-2.08,-3.10,0.4,0.40,54
10,Entry long,2025-08-18 21:30,Long,3.5889,18.73,67.220097,-2.12,-3.15,1.57,2.33,-2.08,-3.10,0.4,0.40,54
11,Exit long,2025-08-20 23:30,Long Exit,3.5359,24.36,84.015204,2.03,2.42,2.09,2.49,-1.79,-2.13,2.44,2.44,28
11,Entry long,2025-08-20 09:30,Long,3.4489,24.36,84.015204,2.03,2.42,2.09,2.49,-1.79,-2.13,2.44,2.44,28
12,Exit long,2025-08-22 20:00,Long Exit,3.3415,19.78,68.138144,-2.11,-3.10,0.62,0.92,-2.08,-3.05,0.32,0.32,45
12,Entry long,2025-08-21 21:30,Long,3.4448,19.78,68.138144,-2.11,-3.10,0.62,0.92,-2.08,-3.05,0.32,0.32,45
13,Exit long,2025-08-22 22:00,Long Exit,3.3625,18.68,62.8115,-0.06,-0.10,0,0.00,-0.03,-0.05,0.26,0.26,0
13,Entry long,2025-08-22 22:00,Long,3.3625,18.68,62.8115,-0.06,-0.10,0,0.00,-0.03,-0.05,0.26,0.26,0
14,Exit short,2025-08-25 03:00,Short Exit,3.8086,17.95,66.355765,-2.08,-3.13,1.67,2.52,-2.04,-3.08,-1.81,-1.81,82
14,Entry short,2025-08-23 10:00,Short,3.6967,17.95,66.355765,-2.08,-3.13,1.67,2.52,-2.04,-3.08,-1.81,-1.81,82
15,Exit long,2025-08-27 04:00,Long Exit,3.4814,17.22,57.950466,1.94,3.35,2.11,3.65,-0.4,-0.68,0.13,0.13,37
15,Entry long,2025-08-26 09:30,Long,3.3653,17.22,57.950466,1.94,3.35,2.11,3.65,-0.4,-0.68,0.13,0.13,37
16,Exit long,2025-08-30 02:00,Long Exit,3.2406,16.24,54.636232,-2.06,-3.77,0.02,0.04,-2.04,-3.72,-1.94,-1.94,10
16,Entry long,2025-08-29 21:00,Long,3.3643,16.24,54.636232,-2.06,-3.77,0.02,0.04,-2.04,-3.72,-1.94,-1.94,10
17,Exit long,2025-09-01 10:00,Long Exit,3.1821,22.84,74.638836,-2.03,-2.72,1.85,2.47,-2,-2.67,-3.97,-3.97,103
17,Entry long,2025-08-30 06:30,Long,3.2679,22.84,74.638836,-2.03,-2.72,1.85,2.47,-2,-2.67,-3.97,-3.97,103
18,Exit long,2025-09-01 19:30,Long Exit,3.2589,25.34,80.811794,1.69,2.09,3.72,4.60,-0.46,-0.56,-2.28,-2.28,9
18,Entry long,2025-09-01 15:00,Long,3.1891,25.34,80.811794,1.69,2.09,3.72,4.60,-0.46,-0.56,-2.28,-2.28,9
19,Exit long,2025-09-02 20:30,Long Exit,3.2406,19.87,63.011744,1.32,2.09,2.56,4.06,-0.23,-0.37,-0.97,-0.97,26
19,Entry long,2025-09-02 07:30,Long,3.1712,19.87,63.011744,1.32,2.09,2.56,4.06,-0.23,-0.37,-0.97,-0.97,26
20,Exit short,2025-09-03 21:30,Short Exit,3.3796,29.06,96.238002,-2.07,-2.15,1.31,1.36,-2.02,-2.10,-3.04,-3.04,18
20,Entry short,2025-09-03 12:30,Short,3.3117,29.06,96.238002,-2.07,-2.15,1.31,1.36,-2.02,-2.10,-3.04,-3.04,18
21,Exit short,2025-09-04 12:30,Short Exit,3.3326,39.65,133.92977,1.66,1.24,1.91,1.43,-1.17,-0.87,-1.38,-1.38,18
21,Entry short,2025-09-04 03:30,Short,3.3778,39.65,133.92977,1.66,1.24,1.91,1.43,-1.17,-0.87,-1.38,-1.38,18
22,Exit short,2025-09-05 20:30,Short Exit,3.42,35.16,118.274724,-2.09,-1.77,0.08,0.07,-2.03,-1.72,-3.47,-3.47,6
22,Entry short,2025-09-05 17:30,Short,3.3639,35.16,118.274724,-2.09,-1.77,0.08,0.07,-2.03,-1.72,-3.47,-3.47,6
23,Exit short,2025-09-08 21:00,Short Exit,3.5045,12.9,43.27692,-1.98,-4.56,0.55,1.27,-1.95,-4.51,-5.45,-5.45,141
23,Entry short,2025-09-05 22:30,Short,3.3548,12.9,43.27692,-1.98,-4.56,0.55,1.27,-1.95,-4.51,-5.45,-5.45,141
24,Exit short,2025-09-09 14:00,Short Exit,3.5316,24.99,86.36544,-1.98,-2.29,0.79,0.92,-1.93,-2.24,-7.42,-7.42,24
24,Entry short,2025-09-09 02:00,Short,3.456,24.99,86.36544,-1.98,-2.29,0.79,0.92,-1.93,-2.24,-7.42,-7.42,24
25,Exit short,2025-09-09 23:00,Short Exit,3.4635,20.26,71.945286,1.7,2.37,1.89,2.63,-0.31,-0.43,-5.72,-5.72,4
