trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T08:00:00Z,2025-08-02T18:00:00Z,3.5248,3.3001,17.79,62.706192,3.94,6.27,3.97,6.32,-1.27,-2.03,3.94,3.94,68,Short,Short Exit
2,short,2025-08-05T19:30:00Z,2025-08-06T15:30:00Z,3.3857,3.4871,20.48,69.339136,-2.15,-3.09,1.21,1.75,-2.11,-3.04,1.79,1.79,40,Short,Short Exit
3,long,2025-08-07T10:30:00Z,2025-08-08T07:00:00Z,3.586,3.866,14.53,52.10458,4.01,7.70,4.04,7.75,-0.04,-0.08,5.8,5.80,41,Long,Long Exit
4,long,2025-08-08T22:00:00Z,2025-08-10T04:00:00Z,3.8544,4.0038,28.33,109.195152,4.12,3.77,4.18,3.82,-0.85,-0.78,9.93,9.93,60,Long,Long Exit
5,short,2025-08-11T11:30:00Z,2025-08-12T18:00:00Z,3.7374,3.8954,13.91,51.987234,-2.25,-4.33,1.92,3.70,-2.22,-4.28,7.67,7.67,61,Short,Short Exit
6,long,2025-08-12T21:00:00Z,2025-08-14T03:00:00Z,3.9162,4.1397,19.27,75.465174,4.23,5.60,4.27,5.65,-1.97,-2.61,11.9,11.90,60,Long,Long Exit
7,short,2025-08-14T21:30:00Z,2025-08-15T04:00:00Z,3.6749,3.8438,13.24,48.655676,-2.29,-4.70,0.33,0.68,-2.26,-4.64,9.62,9.62,13,Short,Short Exit
8,short,2025-08-15T16:00:00Z,2025-08-17T03:00:00Z,3.6496,3.7908,15.56,56.787776,-2.25,-3.97,0.49,0.87,-2.23,-3.92,7.36,7.36,70,Short,Short Exit
9,long,2025-08-17T12:00:00Z,2025-08-17T18:30:00Z,3.8411,3.7732,31.66,121.609226,-2.27,-1.87,1.59,1.30,-2.21,-1.82,5.09,5.09,13,Long,Long Exit
10,short,2025-08-18T02:30:00Z,2025-08-22T12:00:00Z,3.6454,3.3487,14.17,51.655318,4.15,8.04,4.18,8.08,-0.44,-0.85,9.25,9.25,211,Short,Short Exit
11,long,2025-08-22T17:30:00Z,2025-08-25T06:30:00Z,3.7362,3.5638,12.67,47.337654,-2.23,-4.71,1.42,2.99,-2.21,-4.66,7.02,7.02,122,Long,Long Exit
12,short,2025-08-29T08:00:00Z,2025-09-01T21:30:00Z,3.3541,3.1079,17.39,58.327799,4.23,7.24,4.25,7.29,-0.86,-1.47,11.24,11.24,171,Short,Short Exit
13,long,2025-09-02T22:30:00Z,2025-09-04T18:30:00Z,3.3075,3.2405,33.18,109.74285,-2.33,-2.12,3.2,2.91,-2.28,-2.07,8.91,8.91,88,Long,Long Exit
14,long,2025-09-05T07:30:00Z,2025-09-06T19:30:00Z,3.3864,3.318,31.82,107.755248,-2.28,-2.12,2.07,1.92,-2.23,-2.07,6.63,6.63,72,Long,Long Exit
15,long,2025-09-08T10:30:00Z,2025-09-11T00:00:00Z,3.476,3.6343,26.93,93.60868,4.17,4.45,4.22,4.50,-1.49,-1.59,10.79,10.79,123,Long,Long Exit
16,long,2025-09-12T00:30:00Z,2025-09-12T11:30:00Z,3.6693,3.6098,37.25,136.681425,-2.35,-1.72,1.07,0.78,-2.28,-1.67,8.44,8.44,22,Long,Long Exit
17,long,2025-09-12T19:30:00Z,2025-09-13T09:00:00Z,3.6916,3.8028,38.96,143.824736,4.19,2.91,4.26,2.96,-0.96,-0.66,12.63,12.63,27,Long,Long Exit
18,long,2025-09-13T10:00:00Z,2025-09-14T11:30:00Z,3.8155,3.7319,26.92,102.71326,-2.35,-2.29,1.73,1.68,-2.3,-2.24,10.28,10.28,51,Long,Long Exit
19,short,2025-09-15T10:30:00Z,2025-09-16T13:00:00Z,3.5288,3.6231,23.44,82.715072,-2.29,-2.77,1.64,1.99,-2.25,-2.72,7.98,7.98,53,Short,Short Exit
20,long,2025-09-17T22:30:00Z,2025-09-21T09:30:00Z,3.7548,3.5965,13.66,51.290568,-2.21,-4.31,2.97,5.78,-2.19,-4.26,5.77,5.77,166,Long,Long Exit
21,short,2025-09-22T02:00:00Z,2025-09-22T06:00:00Z,3.5238,3.3431,23.42,82.527396,4.15,5.03,4.19,5.08,-0.39,-0.47,9.92,9.92,8,Short,Short Exit
22,short,2025-09-24T04:00:00Z,2025-09-24T11:30:00Z,3.275,3.3999,17.6,57.64,-2.26,-3.91,0.74,1.29,-2.23,-3.86,7.66,7.66,15,Short,Short Exit
23,long,2025-09-24T15:00:00Z,2025-09-25T01:30:00Z,3.4184,3.3244,22.94,78.418096,-2.23,-2.85,0.09,0.12,-2.2,-2.80,5.43,5.43,21,Long,Long Exit
24,short,2025-09-25T05:00:00Z,2025-10-01T05:30:00Z,3.249,3.2517,15.11,49.09239,-0.09,-0.18,2.77,5.64,-1.21,-2.46,5.34,5.34,289,Short,Close entry(s) order Short
25,long,2025-10-01T10:30:00Z,2025-10-02T01:30:00Z,3.3929,3.5512,26.62,90.318998,4.12,4.56,4.17,4.61,-0.36,-0.39,9.46,9.46,30,Long,Long Exit
26,short,2025-10-04T10:00:00Z,2025-10-04T13:00:00Z,3.5056,3.5712,33.35,116.91176,-2.31,-1.97,0.44,0.38,-2.25,-1.92,7.16,7.16,6,Short,Short Exit
27,long,2025-10-05T00:30:00Z,2025-10-05T19:00:00Z,3.6734,3.5522,17.67,64.908978,-2.21,-3.40,0.26,0.40,-2.17,-3.35,4.95,4.95,37,Long,Long Exit
28,long,2025-10-06T16:00:00Z,2025-10-07T08:00:00Z,3.6719,3.5806,22.99,84.416981,-2.18,-2.58,0.82,0.97,-2.14,-2.54,2.77,2.77,32,Long,Long Exit
29,short,2025-10-07T15:00:00Z,2025-10-10T15:30:00Z,3.5217,3.294,18.06,63.601902,4.05,6.37,4.08,6.41,-0.81,-1.27,6.82,6.82,145,Short,Short Exit
30,short,2025-10-10T18:30:00Z,2025-10-10T20:30:00Z,3.2753,3.0646,20.27,66.390331,4.21,6.33,4.24,6.38,-0.09,-0.13,11.03,11.03,4,Short,Short Exit
31,long,2025-10-13T19:30:00Z,2025-10-14T04:30:00Z,2.934,2.8017,16.79,49.26186,-2.27,-4.60,1.31,2.65,-2.25,-4.56,8.76,8.76,18,Long,Long Exit
32,short,2025-10-15T17:00:00Z,2025-10-16T20:30:00Z,2.7056,2.5196,23.39,63.283984,4.29,6.77,4.32,6.82,-0.85,-1.34,13.05,13.05,55,Short,Short Exit
33,long,2025-10-19T14:30:00Z,2025-10-20T00:30:00Z,2.641,2.5249,19.43,51.31463,-2.31,-4.49,0.08,0.15,-2.28,-4.44,10.74,10.74,20,Long,Long Exit
34,long,2025-10-20T06:30:00Z,2025-10-20T16:00:00Z,2.6556,2.5858,31.77,84.368412,-2.3,-2.73,0.67,0.79,-2.26,-2.68,8.44,8.44,19,Long,Long Exit
35,short,2025-10-21T06:00:00Z,2025-10-21T14:00:00Z,2.479,2.5411,34.95,86.64105,-2.26,-2.60,0.33,0.38,-2.21,-2.55,6.18,6.18,16,Short,Short Exit
36,long,2025-10-21T16:30:00Z,2025-10-21T20:00:00Z,2.678,2.5724,20.14,53.93492,-2.18,-4.04,0.09,0.16,-2.15,-3.99,4,4.00,7,Long,Long Exit
37,short,2025-10-22T00:30:00Z,2025-10-26T09:00:00Z,2.4818,2.571,23.29,57.801122,-2.14,-3.69,3.32,5.75,-2.11,-3.64,1.86,1.86,209,Short,Short Exit
38,long,2025-10-26T10:00:00Z,2025-10-27T00:30:00Z,2.5717,2.6978,32.17,82.731589,3.97,4.80,4.02,4.85,-0.76,-0.92,5.84,5.84,29,Long,Long Exit
39,long,2025-10-27T05:00:00Z,2025-10-27T09:00:00Z,2.7115,2.6188,22.85,61.957775,-2.18,-3.52,0.1,0.17,-2.15,-3.47,3.66,3.66,8,Long,Long Exit
40,short,2025-10-28T21:00:00Z,2025-10-30T15:00:00Z,2.4953,2.2874,19.94,49.756282,4.1,8.23,4.12,8.28,-1.93,-3.88,7.76,7.76,84,Short,Short Exit
41,short,2025-11-03T04:00:00Z,2025-11-04T05:30:00Z,2.2071,1.975,18.58,41.007918,4.27,10.42,4.29,10.46,-0.41,-1.01,12.03,12.03,51,Short,Short Exit
42,long,2025-11-09T20:00:00Z,2025-11-11T07:30:00Z,2.1637,2.0873,29.37,63.547869,-2.31,-3.63,1.91,3.00,-2.28,-3.58,9.72,9.72,71,Long,Long Exit
43,short,2025-11-11T12:30:00Z,2025-11-13T16:30:00Z,2.0799,1.9464,32.92,68.470308,4.33,6.32,4.36,6.37,-0.98,-1.42,14.05,14.05,104,Short,Short Exit
44,short,2025-11-13T18:00:00Z,2025-11-16T13:30:00Z,1.8982,1.6842,21.31,40.450642,4.52,11.17,4.54,11.22,-0.18,-0.44,18.57,18.57,135,Short,Short Exit
45,short,2025-11-16T16:00:00Z,2025-11-19T18:00:00Z,1.6695,1.5263,33.11,55.277145,4.69,8.48,4.71,8.52,-2.18,-3.94,23.26,23.26,148,Short,Short Exit
46,short,2025-11-21T02:30:00Z,2025-11-21T07:30:00Z,1.4993,1.386,43.52,65.249536,4.87,7.46,4.9,7.50,-0.1,-0.15,28.13,28.13,10,Short,Short Exit
47,short,2025-11-21T11:30:00Z,2025-11-24T16:00:00Z,1.3448,1.422,33.23,44.687704,-2.61,-5.84,1.12,2.50,-2.59,-5.79,25.52,25.52,153,Short,Short Exit
48,long,2025-11-24T19:00:00Z,2025-11-30T19:30:00Z,1.5275,1.5407,30.51,46.604025,0.36,0.76,2.71,5.81,-2.13,-4.57,25.87,25.87,289,Long,Close entry(s) order Long
