Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-03 02:00,Short Exit,3.3001,17.79,62.706192,3.94,6.27,3.97,6.32,-1.27,-2.03,3.94,3.94,68
1,Entry short,2025-08-01 16:00,Short,3.5248,17.79,62.706192,3.94,6.27,3.97,6.32,-1.27,-2.03,3.94,3.94,68
2,Exit short,2025-08-06 23:30,Short Exit,3.4871,20.48,69.339136,-2.15,-3.09,1.21,1.75,-2.11,-3.04,1.79,1.79,40
2,Entry short,2025-08-06 03:30,Short,3.3857,20.48,69.339136,-2.15,-3.09,1.21,1.75,-2.11,-3.04,1.79,1.79,40
3,Exit long,2025-08-08 15:00,Long Exit,3.866,14.53,52.10458,4.01,7.70,4.04,7.75,-0.04,-0.08,5.8,5.80,41
3,Entry long,2025-08-07 18:30,Long,3.586,14.53,52.10458,4.01,7.70,4.04,7.75,-0.04,-0.08,5.8,5.80,41
4,Exit long,2025-08-10 12:00,Long Exit,4.0038,28.33,109.195152,4.12,3.77,4.18,3.82,-0.85,-0.78,9.93,9.93,60
4,Entry long,2025-08-09 06:00,Long,3.8544,28.33,109.195152,4.12,3.77,4.18,3.82,-0.85,-0.78,9.93,9.93,60
5,Exit short,2025-08-13 02:00,Short Exit,3.8954,13.91,51.987234,-2.25,-4.33,1.92,3.70,-2.22,-4.28,7.67,7.67,61
5,Entry short,2025-08-11 19:30,Short,3.7374,13.91,51.987234,-2.25,-4.33,1.92,3.70,-2.22,-4.28,7.67,7.67,61
6,Exit long,2025-08-14 11:00,Long Exit,4.1397,19.27,75.465174,4.23,5.60,4.27,5.65,-1.97,-2.61,11.9,11.90,60
6,Entry long,2025-08-13 05:00,Long,3.9162,19.27,75.465174,4.23,5.60,4.27,5.65,-1.97,-2.61,11.9,11.90,60
7,Exit short,2025-08-15 12:00,Short Exit,3.8438,13.24,48.655676,-2.29,-4.70,0.33,0.68,-2.26,-4.64,9.62,9.62,13
7,Entry short,2025-08-15 05:30,Short,3.6749,13.24,48.655676,-2.29,-4.70,0.33,0.68,-2.26,-4.64,9.62,9.62,13
8,Exit short,2025-08-17 11:00,Short Exit,3.7908,15.56,56.787776,-2.25,-3.97,0.49,0.87,-2.23,-3.92,7.36,7.36,70
8,Entry short,2025-08-16 00:00,Short,3.6496,15.56,56.787776,-2.25,-3.97,0.49,0.87,-2.23,-3.92,7.36,7.36,70
9,Exit long,2025-08-18 02:30,Long Exit,3.7732,31.66,121.609226,-2.27,-1.87,1.59,1.30,-2.21,-1.82,5.09,5.09,13
9,Entry long,2025-08-17 20:00,Long,3.8411,31.66,121.609226,-2.27,-1.87,1.59,1.30,-2.21,-1.82,5.09,5.09,13
10,Exit short,2025-08-22 20:00,Short Exit,3.3487,14.17,51.655318,4.15,8.04,4.18,8.08,-0.44,-0.85,9.25,9.25,211
10,Entry short,2025-08-18 10:30,Short,3.6454,14.17,51.655318,4.15,8.04,4.18,8.08,-0.44,-0.85,9.25,9.25,211
11,Exit long,2025-08-25 14:30,Long Exit,3.5638,12.67,47.337654,-2.23,-4.71,1.42,2.99,-2.21,-4.66,7.02,7.02,122
11,Entry long,2025-08-23 01:30,Long,3.7362,12.67,47.337654,-2.23,-4.71,1.42,2.99,-2.21,-4.66,7.02,7.02,122
12,Exit short,2025-09-02 05:30,Short Exit,3.1079,17.39,58.327799,4.23,7.24,4.25,7.29,-0.86,-1.47,11.24,11.24,171
12,Entry short,2025-08-29 16:00,Short,3.3541,17.39,58.327799,4.23,7.24,4.25,7.29,-0.86,-1.47,11.24,11.24,171
13,Exit long,2025-09-05 02:30,Long Exit,3.2405,33.18,109.74285,-2.33,-2.12,3.2,2.91,-2.28,-2.07,8.91,8.91,88
13,Entry long,2025-09-03 06:30,Long,3.3075,33.18,109.74285,-2.33,-2.12,3.2,2.91,-2.28,-2.07,8.91,8.91,88
14,Exit long,2025-09-07 03:30,Long Exit,3.318,31.82,107.755248,-2.28,-2.12,2.07,1.92,-2.23,-2.07,6.63,6.63,72
14,Entry long,2025-09-05 15:30,Long,3.3864,31.82,107.755248,-2.28,-2.12,2.07,1.92,-2.23,-2.07,6.63,6.63,72
15,Exit long,2025-09-11 08:00,Long Exit,3.6343,26.93,93.60868,4.17,4.45,4.22,4.50,-1.49,-1.59,10.79,10.79,123
15,Entry long,2025-09-08 18:30,Long,3.476,26.93,93.60868,4.17,4.45,4.22,4.50,-1.49,-1.59,10.79,10.79,123
16,Exit long,2025-09-12 19:30,Long Exit,3.6098,37.25,136.681425,-2.35,-1.72,1.07,0.78,-2.28,-1.67,8.44,8.44,22
16,Entry long,2025-09-12 08:30,Long,3.6693,37.25,136.681425,-2.35,-1.72,1.07,0.78,-2.28,-1.67,8.44,8.44,22
17,Exit long,2025-09-13 17:00,Long Exit,3.8028,38.96,143.824736,4.19,2.91,4.26,2.96,-0.96,-0.66,12.63,12.63,27
17,Entry long,2025-09-13 03:30,Long,3.6916,38.96,143.824736,4.19,2.91,4.26,2.96,-0.96,-0.66,12.63,12.63,27
18,Exit long,2025-09-14 19:30,Long Exit,3.7319,26.92,102.71326,-2.35,-2.29,1.73,1.68,-2.3,-2.24,10.28,10.28,51
18,Entry long,2025-09-13 18:00,Long,3.8155,26.92,102.71326,-2.35,-2.29,1.73,1.68,-2.3,-2.24,10.28,10.28,51
19,Exit short,2025-09-16 21:00,Short Exit,3.6231,23.44,82.715072,-2.29,-2.77,1.64,1.99,-2.25,-2.72,7.98,7.98,53
19,Entry short,2025-09-15 18:30,Short,3.5288,23.44,82.715072,-2.29,-2.77,1.64,1.99,-2.25,-2.72,7.98,7.98,53
20,Exit long,2025-09-21 17:30,Long Exit,3.5965,13.66,51.290568,-2.21,-4.31,2.97,5.78,-2.19,-4.26,5.77,5.77,166
20,Entry long,2025-09-18 06:30,Long,3.7548,13.66,51.290568,-2.21,-4.31,2.97,5.78,-2.19,-4.26,5.77,5.77,166
21,Exit short,2025-09-22 14:00,Short Exit,3.3431,23.42,82.527396,4.15,5.03,4.19,5.08,-0.39,-0.47,9.92,9.92,8
21,Entry short,2025-09-22 10:00,Short,3.5238,23.42,82.527396,4.15,5.03,4.19,5.08,-0.39,-0.47,9.92,9.92,8
