trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T08:00:00Z,2025-08-05T08:30:00Z,3.5248,3.4552,17.79,62.706192,1.18,1.87,4.6,7.33,-1.97,-3.14,1.18,1.18,193,Short,Close entry(s) order Short
2,short,2025-08-05T19:30:00Z,2025-08-06T15:30:00Z,3.3857,3.4871,19.93,67.477001,-2.09,-3.09,1.18,1.75,-2.05,-3.04,-0.91,-0.91,40,Short,Short Exit
3,long,2025-08-07T10:30:00Z,2025-08-10T04:00:00Z,3.586,4.006,14.15,50.7419,5.89,11.6,5.92,11.66,-0.04,-0.08,4.98,4.98,131,Long,Long Exit
4,short,2025-08-11T11:30:00Z,2025-08-12T18:00:00Z,3.7374,3.8954,13.29,49.670046,-2.15,-4.33,1.84,3.7,-2.12,-4.28,2.83,2.83,61,Short,Short Exit
5,long,2025-08-12T21:00:00Z,2025-08-14T12:30:00Z,3.9162,3.8044,18.4,72.05808,-2.13,-2.95,4.89,6.78,-2.09,-2.9,0.7,0.7,79,Long,Long Exit
6,short,2025-08-14T21:30:00Z,2025-08-15T04:00:00Z,3.6749,3.8438,11.91,43.768059,-2.06,-4.7,0.3,0.68,-2.03,-4.64,-1.36,-1.36,13,Short,Short Exit
7,short,2025-08-15T16:00:00Z,2025-08-17T03:00:00Z,3.6496,3.7908,14.0,51.0944,-2.03,-3.97,0.44,0.87,-2.0,-3.92,-3.39,-3.39,70,Short,Short Exit
8,long,2025-08-17T12:00:00Z,2025-08-17T18:30:00Z,3.8411,3.7732,28.49,109.432939,-2.04,-1.87,1.43,1.3,-1.99,-1.82,-5.43,-5.43,13,Long,Long Exit
9,short,2025-08-18T02:30:00Z,2025-08-22T03:00:00Z,3.6454,3.439,12.75,46.47885,2.59,5.56,3.4,7.31,-0.39,-0.85,-2.84,-2.84,193,Short,Close entry(s) order Short
10,short,2025-08-22T12:30:00Z,2025-08-22T14:00:00Z,3.3327,3.4206,22.12,73.719324,-2.02,-2.74,0.64,0.87,-1.98,-2.69,-4.86,-4.86,3,Short,Short Exit
11,long,2025-08-22T17:30:00Z,2025-08-25T06:30:00Z,3.7362,3.5638,11.03,41.210286,-1.94,-4.71,1.23,2.99,-1.92,-4.66,-6.81,-6.81,122,Long,Long Exit
12,short,2025-08-29T08:00:00Z,2025-09-02T08:30:00Z,3.3541,3.2724,15.15,50.814615,1.19,2.34,3.73,7.35,-0.75,-1.47,-5.62,-5.62,193,Short,Close entry(s) order Short
13,long,2025-09-02T22:30:00Z,2025-09-04T18:30:00Z,3.3075,3.2405,28.15,93.106125,-1.98,-2.12,2.71,2.91,-1.93,-2.07,-7.6,-7.6,88,Long,Long Exit
14,long,2025-09-05T07:30:00Z,2025-09-06T19:30:00Z,3.3864,3.318,26.99,91.398936,-1.94,-2.12,1.76,1.92,-1.89,-2.07,-9.53,-9.53,72,Long,Long Exit
15,long,2025-09-08T10:30:00Z,2025-09-12T11:00:00Z,3.476,3.6303,22.85,79.4266,3.44,4.33,5.08,6.39,-1.26,-1.59,-6.09,-6.09,193,Long,Close entry(s) order Long
16,long,2025-09-12T19:30:00Z,2025-09-13T12:30:00Z,3.6916,3.8584,33.74,124.554584,5.5,4.41,5.57,4.47,-0.83,-0.66,-0.59,-0.59,34,Long,Long Exit
17,short,2025-09-15T10:30:00Z,2025-09-16T13:00:00Z,3.5288,3.6231,21.13,74.563544,-2.07,-2.77,1.48,1.99,-2.03,-2.72,-2.66,-2.66,53,Short,Short Exit
18,long,2025-09-17T22:30:00Z,2025-09-21T09:30:00Z,3.7548,3.5965,12.31,46.221588,-1.99,-4.31,2.67,5.78,-1.97,-4.26,-4.65,-4.65,166,Long,Long Exit
19,short,2025-09-22T02:00:00Z,2025-09-22T06:00:00Z,3.5238,3.2528,21.11,74.387418,5.65,7.59,5.68,7.64,-0.35,-0.47,1.0,1.0,8,Short,Short Exit
20,short,2025-09-24T04:00:00Z,2025-09-24T11:30:00Z,3.275,3.3999,16.18,52.9895,-2.07,-3.91,0.68,1.29,-2.05,-3.86,-1.08,-1.08,15,Short,Short Exit
21,long,2025-09-24T15:00:00Z,2025-09-25T01:30:00Z,3.4184,3.3244,21.08,72.059872,-2.05,-2.85,0.09,0.12,-2.02,-2.8,-3.13,-3.13,21,Long,Long Exit
22,short,2025-09-25T05:00:00Z,2025-09-29T05:30:00Z,3.249,3.2785,13.88,45.09612,-0.45,-1.01,2.55,5.64,-0.67,-1.49,-3.58,-3.58,193,Short,Close entry(s) order Short
23,long,2025-10-01T10:30:00Z,2025-10-02T19:00:00Z,3.3929,3.6303,24.36,82.651044,5.7,6.89,5.74,6.94,-0.33,-0.39,2.11,2.11,65,Long,Long Exit
24,short,2025-10-04T10:00:00Z,2025-10-04T13:00:00Z,3.5056,3.5712,31.11,109.059216,-2.15,-1.97,0.41,0.38,-2.1,-1.92,-0.04,-0.04,6,Short,Short Exit
25,long,2025-10-05T00:30:00Z,2025-10-05T19:00:00Z,3.6734,3.5522,16.49,60.574366,-2.06,-3.4,0.24,0.4,-2.03,-3.35,-2.09,-2.09,37,Long,Long Exit
26,long,2025-10-06T16:00:00Z,2025-10-07T08:00:00Z,3.6719,3.5806,21.45,78.762255,-2.04,-2.58,0.76,0.97,-2.0,-2.54,-4.13,-4.13,32,Long,Long Exit
27,short,2025-10-07T15:00:00Z,2025-10-10T20:30:00Z,3.5217,3.1802,16.85,59.340645,5.7,9.6,5.72,9.64,-0.75,-1.27,1.57,1.57,155,Short,Short Exit
28,long,2025-10-13T19:30:00Z,2025-10-14T04:30:00Z,2.934,2.8017,15.36,45.06624,-2.08,-4.6,1.2,2.65,-2.05,-4.56,-0.51,-0.51,18,Long,Long Exit
29,short,2025-10-15T17:00:00Z,2025-10-17T06:30:00Z,2.7056,2.4266,21.39,57.872784,5.91,10.21,5.94,10.26,-0.77,-1.34,5.4,5.4,75,Short,Short Exit
30,long,2025-10-19T14:30:00Z,2025-10-20T00:30:00Z,2.641,2.5249,18.11,47.82851,-2.15,-4.49,0.07,0.15,-2.13,-4.44,3.25,3.25,20,Long,Long Exit
31,long,2025-10-20T06:30:00Z,2025-10-20T16:00:00Z,2.6556,2.5858,29.62,78.658872,-2.15,-2.73,0.62,0.79,-2.11,-2.68,1.11,1.11,19,Long,Long Exit
32,short,2025-10-21T06:00:00Z,2025-10-21T14:00:00Z,2.479,2.5411,32.59,80.79061,-2.11,-2.6,0.31,0.38,-2.06,-2.55,-1.0,-1.0,16,Short,Short Exit
33,long,2025-10-21T16:30:00Z,2025-10-21T20:00:00Z,2.678,2.5724,18.78,50.29284,-2.03,-4.04,0.08,0.16,-2.01,-3.99,-3.03,-3.03,7,Long,Long Exit
34,short,2025-10-22T00:30:00Z,2025-10-26T01:00:00Z,2.4818,2.5254,21.71,53.879878,-1.0,-1.86,3.1,5.75,-1.8,-3.34,-4.03,-4.03,193,Short,Close entry(s) order Short
35,long,2025-10-26T10:00:00Z,2025-10-28T20:00:00Z,2.5717,2.5077,30.31,77.948227,-2.02,-2.59,4.38,5.61,-1.98,-2.54,-6.05,-6.05,116,Long,Long Exit
36,short,2025-10-28T21:00:00Z,2025-11-01T21:30:00Z,2.4953,2.3812,18.07,45.090071,2.02,4.47,5.21,11.54,-1.75,-3.88,-4.03,-4.03,193,Short,Close entry(s) order Short
37,short,2025-11-03T04:00:00Z,2025-11-04T20:00:00Z,2.2071,1.8591,16.55,36.527505,5.73,15.67,5.74,15.71,-0.37,-1.01,1.7,1.7,80,Short,Short Exit
38,long,2025-11-09T20:00:00Z,2025-11-11T07:30:00Z,2.1637,2.0873,26.66,57.684242,-2.09,-3.63,1.73,3.0,-2.07,-3.58,-0.4,-0.4,71,Long,Long Exit
39,short,2025-11-11T12:30:00Z,2025-11-13T18:00:00Z,2.0799,1.8798,29.88,62.147412,5.92,9.52,5.95,9.57,-0.89,-1.42,5.52,5.52,107,Short,Short Exit
40,short,2025-11-14T04:00:00Z,2025-11-16T17:30:00Z,1.842,1.6444,32.03,58.99926,6.27,10.63,6.3,10.67,-0.4,-0.67,11.8,11.8,123,Short,Short Exit
41,short,2025-11-19T17:00:00Z,2025-11-20T02:00:00Z,1.5515,1.6303,28.41,44.078115,-2.28,-5.18,1.21,2.74,-2.26,-5.13,9.51,9.51,18,Short,Short Exit
42,short,2025-11-21T02:30:00Z,2025-11-21T07:30:00Z,1.4993,1.3293,38.67,57.977931,6.52,11.24,6.54,11.28,-0.09,-0.15,16.03,16.03,10,Short,Short Exit
43,short,2025-11-21T11:30:00Z,2025-11-24T16:00:00Z,1.3448,1.422,30.09,40.465032,-2.36,-5.84,1.01,2.5,-2.34,-5.79,13.67,13.67,153,Short,Short Exit
44,long,2025-11-24T19:00:00Z,2025-11-28T19:30:00Z,1.5275,1.5321,27.63,42.204825,0.08,0.2,2.45,5.81,-1.93,-4.57,13.75,13.75,193,Long,Close entry(s) order Long
45,short,2025-11-29T02:30:00Z,2025-11-30T12:30:00Z,1.5176,1.5493,72.17,109.525192,-2.4,-2.19,2.36,2.15,-2.34,-2.14,11.35,11.35,68,Short,Short Exit
