trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
1,short,2025-08-01T08:00:00Z,2025-08-05T08:30:00Z,3.5248,3.4552,17.79,62.706192,1.18,1.87,4.6,7.33,-1.97,-3.14,1.18,1.18,193,Short,Close entry(s) order Short
2,short,2025-08-05T19:30:00Z,2025-08-06T15:30:00Z,3.3857,3.4871,19.93,67.477001,-2.09,-3.09,1.18,1.75,-2.05,-3.04,-0.91,-0.91,40,Short,Short Exit
3,long,2025-08-07T10:30:00Z,2025-08-10T04:00:00Z,3.586,4.006,14.15,50.7419,5.89,11.6,5.92,11.66,-0.04,-0.08,4.98,4.98,131,Long,Long Exit
4,short,2025-08-11T11:30:00Z,2025-08-12T18:00:00Z,3.7374,3.8954,13.29,49.670046,-2.15,-4.33,1.84,3.7,-2.12,-4.28,2.83,2.83,61,Short,Short Exit
5,long,2025-08-13T10:00:00Z,2025-08-14T12:30:00Z,3.9946,3.8744,17.17,68.587282,-2.13,-3.11,3.21,4.68,-2.1,-3.06,0.69,0.69,53,Long,Long Exit
6,short,2025-08-14T21:30:00Z,2025-08-15T04:00:00Z,3.6749,3.8438,11.91,43.768059,-2.06,-4.7,0.3,0.68,-2.03,-4.64,-1.36,-1.36,13,Short,Short Exit
7,short,2025-08-15T16:00:00Z,2025-08-17T03:00:00Z,3.6496,3.7908,14.0,51.0944,-2.03,-3.97,0.44,0.87,-2.0,-3.92,-3.39,-3.39,70,Short,Short Exit
8,long,2025-08-17T12:00:00Z,2025-08-17T18:30:00Z,3.8411,3.7732,28.49,109.432939,-2.04,-1.87,1.43,1.3,-1.99,-1.82,-5.43,-5.43,13,Long,Long Exit
9,short,2025-08-18T02:30:00Z,2025-08-22T03:00:00Z,3.6454,3.439,12.75,46.47885,2.59,5.56,3.4,7.31,-0.39,-0.85,-2.85,-2.85,193,Short,Close entry(s) order Short
10,short,2025-08-22T12:30:00Z,2025-08-22T14:00:00Z,3.3327,3.4206,22.12,73.719324,-2.02,-2.74,0.64,0.87,-1.98,-2.69,-4.87,-4.87,3,Short,Short Exit
11,long,2025-08-22T17:30:00Z,2025-08-25T06:30:00Z,3.7362,3.5638,11.03,41.210286,-1.94,-4.71,1.23,2.99,-1.92,-4.66,-6.81,-6.81,122,Long,Long Exit
12,short,2025-08-29T08:00:00Z,2025-09-02T08:30:00Z,3.3541,3.2724,15.15,50.814615,1.19,2.34,3.73,7.35,-0.75,-1.47,-5.62,-5.62,193,Short,Close entry(s) order Short
13,long,2025-09-03T15:00:00Z,2025-09-04T06:00:00Z,3.3916,3.2989,20.4,69.18864,-1.96,-2.83,0.25,0.36,-1.93,-2.78,-7.58,-7.58,30,Long,Long Exit
14,long,2025-09-08T10:30:00Z,2025-09-12T11:00:00Z,3.476,3.6303,23.34,81.12984,3.52,4.33,5.19,6.39,-1.29,-1.59,-4.06,-4.06,193,Long,Close entry(s) order Long
15,long,2025-09-12T19:30:00Z,2025-09-13T12:30:00Z,3.6916,3.8584,34.47,127.249452,5.62,4.41,5.69,4.47,-0.85,-0.66,1.56,1.56,34,Long,Long Exit
16,short,2025-09-15T10:30:00Z,2025-09-16T13:00:00Z,3.5288,3.6231,21.59,76.186792,-2.11,-2.77,1.51,1.99,-2.07,-2.72,-0.56,-0.56,53,Short,Short Exit
17,long,2025-09-17T22:30:00Z,2025-09-21T09:30:00Z,3.7548,3.5965,12.58,47.235384,-2.04,-4.31,2.73,5.78,-2.02,-4.26,-2.59,-2.59,166,Long,Long Exit
18,short,2025-09-22T02:00:00Z,2025-09-22T06:00:00Z,3.5238,3.2528,21.57,76.008366,5.77,7.59,5.81,7.64,-0.36,-0.47,3.18,3.18,8,Short,Short Exit
19,short,2025-09-24T04:00:00Z,2025-09-24T11:30:00Z,3.275,3.3999,16.52,54.103,-2.12,-3.91,0.7,1.29,-2.09,-3.86,1.06,1.06,15,Short,Short Exit
20,long,2025-09-24T15:00:00Z,2025-09-25T01:30:00Z,3.4184,3.3244,21.53,73.598152,-2.1,-2.85,0.09,0.12,-2.06,-2.8,-1.04,-1.04,21,Long,Long Exit
21,long,2025-09-28T20:30:00Z,2025-09-30T15:00:00Z,3.2346,3.1609,26.93,87.107778,-2.07,-2.38,2.45,2.81,-2.03,-2.33,-3.11,-3.11,85,Long,Long Exit
22,long,2025-10-01T10:30:00Z,2025-10-02T19:00:00Z,3.3929,3.6303,24.48,83.058192,5.73,6.89,5.77,6.94,-0.33,-0.39,2.62,2.62,65,Long,Long Exit
23,short,2025-10-04T10:00:00Z,2025-10-04T13:00:00Z,3.5056,3.5712,31.27,109.620112,-2.16,-1.97,0.41,0.38,-2.11,-1.92,0.46,0.46,6,Short,Short Exit
24,long,2025-10-05T00:30:00Z,2025-10-05T19:00:00Z,3.6734,3.5522,16.57,60.868238,-2.07,-3.4,0.24,0.4,-2.04,-3.35,-1.61,-1.61,37,Long,Long Exit
25,long,2025-10-06T16:00:00Z,2025-10-07T08:00:00Z,3.6719,3.5806,21.55,79.129445,-2.05,-2.58,0.77,0.97,-2.01,-2.54,-3.66,-3.66,32,Long,Long Exit
26,short,2025-10-07T15:00:00Z,2025-10-10T20:30:00Z,3.5217,3.1802,16.93,59.622381,5.72,9.6,5.75,9.64,-0.76,-1.27,2.07,2.07,155,Short,Short Exit
27,long,2025-10-13T19:30:00Z,2025-10-14T04:30:00Z,2.934,2.8017,15.43,45.27162,-2.09,-4.6,1.2,2.65,-2.06,-4.56,-0.02,-0.02,18,Long,Long Exit
28,short,2025-10-15T17:00:00Z,2025-10-17T06:30:00Z,2.7056,2.4266,21.5,58.1704,5.94,10.21,5.97,10.26,-0.78,-1.34,5.93,5.93,75,Short,Short Exit
29,long,2025-10-19T14:30:00Z,2025-10-20T00:30:00Z,2.641,2.5249,18.2,48.0662,-2.16,-4.49,0.07,0.15,-2.14,-4.44,3.77,3.77,20,Long,Long Exit
30,long,2025-10-20T06:30:00Z,2025-10-20T16:00:00Z,2.6556,2.5858,29.76,79.030656,-2.16,-2.73,0.63,0.79,-2.12,-2.68,1.61,1.61,19,Long,Long Exit
31,short,2025-10-21T06:00:00Z,2025-10-21T14:00:00Z,2.479,2.5411,32.75,81.18725,-2.12,-2.6,0.31,0.38,-2.07,-2.55,-0.51,-0.51,16,Short,Short Exit
32,long,2025-10-21T16:30:00Z,2025-10-21T20:00:00Z,2.678,2.5724,18.87,50.53386,-2.04,-4.04,0.08,0.16,-2.02,-3.99,-2.55,-2.55,7,Long,Long Exit
33,long,2025-10-24T10:00:00Z,2025-10-26T13:00:00Z,2.4782,2.6313,38.19,94.642458,5.75,6.07,5.8,6.12,-1.47,-1.55,3.2,3.2,102,Long,Long Exit
34,long,2025-10-27T00:30:00Z,2025-10-27T09:00:00Z,2.6835,2.6239,34.76,93.27846,-2.16,-2.32,1.13,1.21,-2.12,-2.27,1.04,1.04,17,Long,Long Exit
35,short,2025-10-28T21:00:00Z,2025-11-01T21:30:00Z,2.4953,2.3812,19.43,48.483679,2.17,4.47,5.6,11.54,-1.88,-3.88,3.21,3.21,193,Short,Close entry(s) order Short
36,short,2025-11-03T04:00:00Z,2025-11-04T20:00:00Z,2.2071,1.8591,17.8,39.28638,6.16,15.67,6.17,15.71,-0.4,-1.01,9.37,9.37,80,Short,Short Exit
37,long,2025-11-09T20:00:00Z,2025-11-11T07:30:00Z,2.1637,2.0873,28.67,62.033279,-2.25,-3.63,1.86,3.0,-2.22,-3.58,7.11,7.11,71,Long,Long Exit
38,short,2025-11-11T12:30:00Z,2025-11-13T18:00:00Z,2.0799,1.8798,32.14,66.847986,6.37,9.52,6.4,9.57,-0.95,-1.42,13.48,13.48,107,Short,Short Exit
39,short,2025-11-14T04:00:00Z,2025-11-16T17:30:00Z,1.842,1.6444,34.45,63.4569,6.75,10.63,6.78,10.67,-0.43,-0.67,20.23,20.23,123,Short,Short Exit
40,short,2025-11-19T17:00:00Z,2025-11-20T02:00:00Z,1.5515,1.6303,30.55,47.398325,-2.46,-5.18,1.3,2.74,-2.43,-5.13,17.77,17.77,18,Short,Short Exit
41,short,2025-11-21T02:30:00Z,2025-11-21T07:30:00Z,1.4993,1.3293,41.59,62.355887,7.01,11.24,7.04,11.28,-0.09,-0.15,24.78,24.78,10,Short,Short Exit
42,short,2025-11-21T11:30:00Z,2025-11-24T16:00:00Z,1.3448,1.422,32.36,43.517728,-2.54,-5.84,1.09,2.5,-2.52,-5.79,22.24,22.24,153,Short,Short Exit
43,long,2025-11-24T19:00:00Z,2025-11-28T19:30:00Z,1.5275,1.5321,29.72,45.3973,0.09,0.2,2.64,5.81,-2.08,-4.57,22.33,22.33,193,Long,Close entry(s) order Long
