time,open,high,low,close,Volume
1735689600,4.1221,4.1585,4.1177,4.1463,2561491.1634999998
1735691400,4.1462,4.2,4.1459,4.1951,3937903.9254000001
1735693200,4.195,4.1956,4.1545,4.1584,2531060.6990999999
1735695000,4.1577,4.1764,4.1427,4.156,2562386.3539999998
1735696800,4.1558,4.1917,4.1557,4.1685,2794443.4849999999
1735698600,4.1685,4.1949,4.1668,4.1888,3137022.8207
1735700400,4.1889,4.1991,4.1807,4.188,1827613.0135999999
1735702200,4.1878,4.2159,4.1874,4.2124,2404616.8700999999
1735704000,4.2122,4.2208,4.1896,4.2,2549962.5271000001
1735705800,4.2,4.2009,4.1571,4.1639,5132612.29
1735707600,4.164,4.198,4.16,4.1866,2190186.0397000001
1735709400,4.1869,4.1965,4.1738,4.174,957495.5209
1735711200,4.1739,4.1804,4.1665,4.1713,1320667.6773000001
1735713000,4.1713,4.186,4.1554,4.1833,2383939.7431999999
1735714800,4.1832,4.1832,4.1634,4.1634,1028696.2206
1735716600,4.1632,4.1705,4.1353,4.1417,3463325.6135999998
1735718400,4.1418,4.1521,4.1151,4.1267,3105432.4375999998
1735720200,4.1267,4.1377,4.0928,4.1002,5602404.3742000004
1735722000,4.1003,4.1099,4.046,4.0612,7438638.7435999997
1735723800,4.0613,4.0843,4.0457,4.0785,4801214.6336000003
1735725600,4.0786,4.1104,4.0785,4.1042,5010403.3041000003
1735727400,4.1047,4.1241,4.0968,4.1098,3188204.3280000002
1735729200,4.1098,4.153,4.1031,4.1525,5158218.9824999999
1735731000,4.153,4.1574,4.1304,4.1376,3997574.5693000001
1735732800,4.1376,4.1742,4.1376,4.17,4196346.3938999996
1735734600,4.1696,4.1772,4.1536,4.1697,3876760.2810999998
1735736400,4.1698,4.1922,4.1499,4.1546,4670664.4812000003
1735738200,4.1543,4.1653,4.1432,4.1629,2849701.0183999999
1735740000,4.163,4.191,4.1616,4.168,3537052.9273000001
1735741800,4.1674,4.1846,4.1449,4.1762,3495974.3574000001
1735743600,4.1762,4.1994,4.1723,4.1877,4284400.9314000001
1735745400,4.1877,4.2068,4.1818,4.1952,4432673.3376000002
1735747200,4.196,4.2096,4.1754,4.1898,4433487.0281999996
1735749000,4.1899,4.1961,4.1688,4.1794,3464399.2793999999
1735750800,4.1801,4.1891,4.1469,4.1809,5336602.2432000004
1735752600,4.1805,4.1989,4.1729,4.1912,2913623.4493
1735754400,4.1917,4.1987,4.1707,4.1947,2543357.4111000001
1735756200,4.1952,4.2688,4.195,4.2562,9662834.0747999996
1735758000,4.2562,4.2726,4.2312,4.2373,4920132.8471999997
1735759800,4.2373,4.2879,4.2288,4.2725,4554135.3284
1735761600,4.2725,4.2858,4.2584,4.2809,3666716.0399000002
1735763400,4.2806,4.3168,4.2707,4.3162,4984591.2503000004
1735765200,4.3156,4.3187,4.2825,4.2963,5241853.2520000003
1735767000,4.2964,4.2984,4.2723,4.2809,2252077.5863000001
1735768800,4.2809,4.2872,4.255,4.2633,2741736.1639999999
1735770600,4.2633,4.2799,4.2633,4.2728,997776.6255
1735772400,4.272,4.2896,4.2596,4.2774,1696456.0944999999
1735774200,4.2772,4.2886,4.2662,4.2828,1813157.388
1735776000,4.2833,4.32,4.2626,4.3077,6888456.2155999998
1735777800,4.3077,4.3417,4.2991,4.3209,7226173.9288999997
1735779600,4.3208,4.3454,4.2979,4.3015,4168804.8067999999
1735781400,4.3017,4.303,4.2684,4.2717,3566303.1394000002
1735783200,4.2718,4.2831,4.2552,4.2761,3184299.0101999999
1735785000,4.2766,4.3012,4.2575,4.2991,2213577.264
1735786800,4.2991,4.3046,4.2718,4.2778,1604921.9765000001
1735788600,4.2784,4.2834,4.267,4.2673,1511118.2786000001
1735790400,4.2673,4.285,4.267,4.2825,2033049.8089000001
1735792200,4.283,4.3383,4.2822,4.3158,6955874.9950000001
1735794000,4.3159,4.33,4.2926,4.3295,2713533.4432000001
1735795800,4.3296,4.3332,4.3116,4.3287,2260292.2599999998
1735797600,4.3288,4.3441,4.3028,4.3033,2860953.7207999998
1735799400,4.3034,4.3344,4.2974,4.3257,2373140.0452000001
