Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,50
Completed Trials,50
Pruned Trials,0
Best Trial Number,0
Best Value,94.8193
Optimization Time,0m 23s

Fixed Parameters
Parameter Name,Value
maLength,0
closeCountLong,0
closeCountShort,0
stopLongX,0.0
stopLongRR,0.0
stopLongLP,1
stopShortX,0.0
stopShortRR,0.0
stopShortLP,1
stopLongMaxPct,0.0
stopShortMaxPct,0.0
stopLongMaxDays,0
stopShortMaxDays,0
trailRRLong,0.0
trailRRShort,0.0
trailLongLength,0
trailLongOffset,0.0
trailShortLength,0
trailShortOffset,0.0

MA Type,Tr L Type,Tr S Type,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
WMA,TMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,SMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,EMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
T3,KAMA,TMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,VWMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWMA,TMA,TMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
SMA,SMA,EMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,DEMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,TMA,TMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,DEMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
DEMA,VWAP,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
EMA,VWMA,DEMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,ALMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWMA,HMA,EMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,VWAP,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
EMA,DEMA,ALMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
TMA,DEMA,ALMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,VWAP,EMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
KAMA,SMA,TMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,WMA,T3,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,SMA,SMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,KAMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,VWAP,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,TMA,VWAP,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
TMA,EMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
ALMA,EMA,ALMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
T3,SMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,SMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
SMA,TMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,VWMA,VWAP,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,EMA,T3,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,KAMA,TMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
T3,KAMA,TMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
KAMA,KAMA,WMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,WMA,WMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,EMA,EMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
T3,HMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
T3,T3,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,TMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
T3,EMA,SMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
SMA,HMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,EMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
EMA,TMA,T3,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,VWMA,KAMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
KAMA,WMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWMA,VWMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,KAMA,VWMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
VWAP,DEMA,HMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
WMA,VWMA,ALMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
HMA,TMA,DEMA,94.82%,23.05%,66,15.00,4.11,0.77,1.98,10.70,1.63,66.67
